epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6204,1.41291,4.22464,3.2867,1.65541,0.00392,0.7846,0.16643,0.097,0.00381,0.75789,0.14723,0.08635,0.96818,3.19278,3.06011,1.41906,0.00020004,0.00020004,0.00020004
2,22.064,1.01012,2.40744,2.42194,1.33106,0.30012,0.3425,0.22713,0.14205,0.30859,0.35406,0.23317,0.13897,1.01515,3.01012,2.7578,1.56743,0.000408498,0.000408498,0.000408498
3,31.4778,1.01349,1.92736,2.04263,1.32515,0.70567,0.04869,0.32157,0.19362,0.73995,0.05251,0.35214,0.20442,1.122,3.13159,2.63554,1.62758,0.000608375,0.000608375,0.000608375
4,40.35,1.00843,1.95677,1.98277,1.34313,0.41212,0.22225,0.2551,0.13602,0.4197,0.22625,0.27905,0.14722,1.26729,3.44066,2.55973,1.89173,0.00079967,0.00079967,0.00079967
5,50.8896,1.03969,2.0345,1.90822,1.38598,0.43067,0.41447,0.36464,0.19251,0.47805,0.42074,0.38354,0.21186,1.37811,3.42522,2.30734,2.08525,0.000982383,0.000982383,0.000982383
6,60.231,1.0813,2.08839,1.8407,1.38534,0.37495,0.38126,0.3417,0.16921,0.41961,0.33142,0.30656,0.14887,1.59515,2.92023,2.25253,2.16415,0.00115651,0.00115651,0.00115651
7,68.988,1.0751,1.93183,1.92037,1.39867,0.28928,0.4191,0.24261,0.09996,0.43773,0.38485,0.29571,0.13173,1.71604,4.96927,2.85438,2.35898,0.00132206,0.00132206,0.00132206
8,78.4542,1.09007,2.01181,1.80674,1.38874,0.49189,0.41224,0.36203,0.18831,0.47187,0.38715,0.31411,0.1497,1.3649,3.37459,2.59538,2.00609,0.00143595,0.00143595,0.00143595
9,86.9382,1.09706,1.77082,1.63689,1.36828,0.39982,0.39812,0.34376,0.20674,0.39619,0.3937,0.3384,0.19322,1.54712,4.31906,2.3064,2.08163,0.00140295,0.00140295,0.00140295
10,95.9215,1.10592,1.93184,1.67795,1.36534,0.45787,0.3374,0.33111,0.16852,0.40228,0.29288,0.26953,0.1378,1.82016,6.00531,2.22887,2.27871,0.00136994,0.00136994,0.00136994
11,105.5,1.01597,1.73733,1.68921,1.34304,0.36522,0.58873,0.44545,0.23248,0.41447,0.47472,0.40499,0.23675,1.33313,2.70214,2.47583,1.88606,0.00133693,0.00133693,0.00133693
12,116.201,1.01588,1.70847,1.67323,1.33509,0.39349,0.54148,0.40725,0.22291,0.36351,0.35009,0.29213,0.15447,1.55836,5.29386,2.21256,2.10741,0.00130393,0.00130393,0.00130393
13,124.446,0.95182,1.62337,1.50314,1.29212,0.51179,0.47813,0.43709,0.22706,0.3025,0.33378,0.24891,0.12029,1.7678,8.89717,1.9328,2.38244,0.00127092,0.00127092,0.00127092
14,134.727,1.00066,1.73473,1.45739,1.30786,0.46559,0.50057,0.45697,0.21939,0.5179,0.4623,0.4304,0.19719,1.81977,4.9201,2.06087,2.34131,0.00123791,0.00123791,0.00123791
15,142.332,0.9685,1.5808,1.39173,1.2736,0.6883,0.58874,0.63571,0.35981,0.6813,0.58028,0.61969,0.35909,1.26667,2.93584,1.81659,1.84441,0.00120491,0.00120491,0.00120491
16,151.787,0.95506,1.70045,1.53217,1.30536,0.56524,0.61071,0.52485,0.3023,0.55938,0.59132,0.50959,0.27267,1.30555,3.18576,2.03831,1.8768,0.0011719,0.0011719,0.0011719
17,161.807,0.93313,1.67598,1.42649,1.26429,0.45954,0.55698,0.456,0.26603,0.46225,0.55791,0.45405,0.27255,1.31082,2.99434,1.97281,1.88844,0.00113889,0.00113889,0.00113889
18,169.509,0.86448,1.50493,1.32242,1.25246,0.56597,0.59006,0.57573,0.35307,0.55639,0.57283,0.55855,0.33041,1.16422,2.70974,1.82826,1.7661,0.00110589,0.00110589,0.00110589
19,178.82,0.9312,1.604,1.3595,1.30149,0.58785,0.56758,0.5881,0.34628,0.56528,0.58271,0.58674,0.33318,1.22196,2.43537,1.88863,1.90912,0.00107288,0.00107288,0.00107288
20,187.065,0.89826,1.61135,1.28133,1.26481,0.51705,0.59807,0.55536,0.34888,0.50786,0.57363,0.53542,0.33686,1.1324,3.01233,2.14614,1.69091,0.00103987,0.00103987,0.00103987
21,195.34,0.88401,1.52188,1.2551,1.25202,0.47441,0.67851,0.52831,0.33343,0.45125,0.68036,0.49901,0.2884,1.16763,2.80445,1.9785,1.72086,0.00100687,0.00100687,0.00100687
22,204.515,0.92529,1.56242,1.30482,1.28679,0.5374,0.66095,0.54483,0.34589,0.5386,0.66638,0.55194,0.35584,1.18562,2.06513,1.68991,1.74553,0.000973861,0.000973861,0.000973861
23,212.355,0.85616,1.51141,1.18295,1.19721,0.53704,0.52817,0.49282,0.32109,0.52975,0.52407,0.47776,0.29625,1.21325,2.31343,1.821,1.716,0.000940855,0.000940855,0.000940855
24,221.679,0.87103,1.48783,1.19922,1.19664,0.62145,0.6592,0.62294,0.39822,0.60387,0.6688,0.616,0.36899,1.12474,2.39957,1.56939,1.62721,0.000907848,0.000907848,0.000907848
25,230.173,0.8,1.38903,1.13137,1.18831,0.64105,0.71295,0.63842,0.40702,0.64014,0.70171,0.63161,0.41212,1.14048,2.25855,1.43828,1.67095,0.000874842,0.000874842,0.000874842
26,238.574,0.8489,1.42967,1.2222,1.24631,0.67162,0.71294,0.65192,0.42652,0.69741,0.6628,0.62506,0.37741,1.1294,2.2586,1.39869,1.66242,0.000841835,0.000841835,0.000841835
27,247.966,0.81351,1.50042,1.20784,1.22001,0.73016,0.6346,0.68165,0.44124,0.7135,0.62026,0.65426,0.40361,1.1209,2.34157,1.39716,1.66375,0.000808828,0.000808828,0.000808828
28,255.555,0.78317,1.34646,1.08738,1.17922,0.64993,0.72724,0.67433,0.42433,0.64175,0.72872,0.65768,0.41436,1.08008,2.28136,1.52954,1.63155,0.000775822,0.000775822,0.000775822
29,265.033,0.83293,1.47298,1.15842,1.24994,0.65734,0.64453,0.61562,0.36428,0.63086,0.60743,0.557,0.34106,1.21356,2.45123,1.54892,1.75362,0.000742815,0.000742815,0.000742815
